,track_id,track_name,artist_names,artist_pop,artist_genres,album,track_pop,track_duration,added_at,acousticness,speechiness,key,liveness,instrumentalness,energy,tempo,time_signature,loudness,danceability,valence
0,4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,90,['pop'],As It Was,100,167.303,2022-05-13T12:02:30Z,0.342,0.0557,6,0.311,0.00101,0.731,173.93,4,-5.338,0.52,0.662
1,6Xom58OOXk2SoU711L2IXO,Moscow Mule,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,91,245.939,2022-05-13T12:02:30Z,0.294,0.0333,5,0.115,1.18e-06,0.674,99.968,4,-5.453,0.804,0.292
2,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,89,178.567,2022-05-13T12:02:30Z,0.0901,0.0817,1,0.0933,2.68e-05,0.712,92.005,4,-5.105,0.911,0.425
3,3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,89,258.298,2022-05-13T12:02:30Z,0.08,0.0413,3,0.528,1.34e-06,0.686,79.928,4,-5.745,0.647,0.268
4,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,88,243.716,2022-05-13T12:02:30Z,0.0993,0.253,5,0.126,0.000291,0.715,106.672,4,-5.198,0.65,0.187
5,4tYFy8ALRjIZvnvSLw5lxN,Party,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,88,227.628,2022-05-13T12:02:30Z,0.0151,0.0897,9,0.242,0.000543,0.799,97.013,4,-5.389,0.829,0.471
6,1dm6z1fWB0cErMszU25dy2,Después de la Playa,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,88,230.4,2022-05-13T12:02:30Z,0.356,0.307,5,0.175,0.0,0.903,78.293,4,-3.221,0.564,0.607
7,0wHFktze2PHC5jDt3B17DC,First Class,Jack Harlow,89,"['deep underground hip hop', 'kentucky hip hop', 'rap']",Come Home The Kids Miss You,78,173.947,2022-05-13T12:02:30Z,0.111,0.109,5,0.111,3.18e-06,0.582,107.005,4,-5.902,0.902,0.332
8,41oY4WCTj5kccfesTVFnvN,Tarot,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,87,237.894,2022-05-13T12:02:30Z,0.0225,0.0419,11,0.658,0.0,0.684,114.011,4,-3.971,0.795,0.419
9,5CzixCxDkRXX9mScCmah8O,Un Ratito,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,87,176.936,2022-05-13T12:02:30Z,0.305,0.0532,0,0.122,4.55e-05,0.546,93.05,4,-7.094,0.787,0.222
